fclass,name,id,address,city,region,postcode
unclassified,Shandwick Place,815,"23 Shandwick Place, Edinburgh, EH2 4RG, Scotland",Edinburgh,Scotland,EH2 4RG
unclassified,Shandwick Place,816,"52 Shandwick Place, Edinburgh, EH2 4RT, Scotland",Edinburgh,Scotland,EH2 4RT
primary,Holburn Street,921,"313 Holburn Street, Aberdeen, AB10 7FP, Scotland",Aberdeen,Scotland,AB10 7FP
unclassified,Rutland Place,815,"23 Shandwick Place, Edinburgh, EH2 4RG, Scotland",Edinburgh,Scotland,EH2 4RG
unclassified,Shandwick Place,815,"23 Shandwick Place, Edinburgh, EH2 4RG, Scotland",Edinburgh,Scotland,EH2 4RG
secondary,Main Street,936,"87 Main Street, Glasgow, G46 7RY, Scotland",Glasgow,Scotland,G46 7RY
pedestrian,Murray Place,976,"3-5 Murray Place, Stirling, FK8 1DQ, Scotland",Stirling,Scotland,FK8 1DQ
pedestrian,East Terrace,812,"53 High Street, South Queensferry, EH30 9HP, Scotland",South Queensferry,Scotland,EH30 9HP
footway,Covenant Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
tertiary,Back Hilton Road,931,"32 Ashgrove Road, Aberdeen, AB25 3AD, Scotland",Aberdeen,Scotland,AB25 3AD
secondary,Clifton Road,929,"270 Clifton Road, Aberdeen, AB24 4HA, Scotland",Aberdeen,Scotland,AB24 4HA
footway,,893,"1 Grassmarket, Edinburgh, EH1 2HY, Scotland",Edinburgh,Scotland,EH1 2HY
footway,Fleshmarket Close,844,"130 High Street, Edinburgh, EH1 1QS, Scotland",Edinburgh,Scotland,EH1 1QS
footway,Fleshmarket Close,844,"130 High Street, Edinburgh, EH1 1QS, Scotland",Edinburgh,Scotland,EH1 1QS
footway,Geddes' Entry,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
footway,Geddes' Entry,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
footway,Jackson's Close,844,"130 High Street, Edinburgh, EH1 1QS, Scotland",Edinburgh,Scotland,EH1 1QS
footway,North Foulis Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
footway,North Foulis Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
footway,Old Assembly Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
pedestrian,Chapel Street,818,"10 Chapel Street, Peterhead, AB42 1TL, Scotland",Peterhead,Scotland,AB42 1TL
pedestrian,Castle Street,898,"4 Castle Street, Edinburgh, EH2 3DW, Scotland",Edinburgh,Scotland,EH2 3DW
unclassified,George Street,447,"69 George Street, Edinburgh, EH2 2JG, Scotland",Edinburgh,Scotland,EH2 2JG
unclassified,George Street,899,"117-119 George Street, Edinburgh, EH2 4JN, Scotland",Edinburgh,Scotland,EH2 4JN
footway,Anderson's Close,890,"13 Cowgatehead, Edinburgh, EH1 1JY, Scotland",Edinburgh,Scotland,EH1 1JY
footway,Anderson's Close,890,"13 Cowgatehead, Edinburgh, EH1 1JY, Scotland",Edinburgh,Scotland,EH1 1JY
footway,Anderson's Close,890,"13 Cowgatehead, Edinburgh, EH1 1JY, Scotland",Edinburgh,Scotland,EH1 1JY
secondary,Hopetoun Road,827,"9 Shore Road, South Queensferry, EH30 9RD, Scotland",South Queensferry,Scotland,EH30 9RD
footway,Anchor Close,842,"235 High Street, Edinburgh, EH1 1PE, Scotland",Edinburgh,Scotland,EH1 1PE
